package_manager,name,version,licenses,homepage,approved
Go,github.com/dustin/go-humanize,v1.0.0,MIT,"",Approved
Go,github.com/emirpasic/gods,v1.18.1,Simplified BSD,"",Approved
Go,github.com/facebookgo/clock,v0.0.0-20150410010913-600d898af40a,MIT,"",Approved
Go,github.com/facebookgo/limitgroup,v0.0.0-20150612190941-6abd8d71ec01,BSD,"",Approved
Go,github.com/facebookgo/muster,v0.0.0-20150708232844-fd3d7953fd52,BSD,"",Approved
Go,github.com/fatih/color,v1.13.0,MIT,"",Approved
Go,github.com/felixge/fgprof,v0.9.2,MIT,"",Approved
Go,github.com/felixge/httpsnoop,v1.0.3,MIT,"",Approved
Go,github.com/fsnotify/fsnotify,v1.5.4,New BSD,"",Approved
Go,github.com/gen2brain/beeep,v0.0.0-20210529141713-5586760f0cc1,Simplified BSD,"",Approved
Go,github.com/getsentry/raven-go,v0.2.0,New BSD,"",Approved
Go,github.com/getsentry/sentry-go,v0.13.0,Simplified BSD,"",Approved
Go,github.com/go-enry/go-enry/v2,v2.8.2,Apache 2.0,"",Approved
Go,github.com/go-errors/errors,v1.4.2,MIT,"",Approved
Go,github.com/go-git/gcfg,v1.5.0,New BSD,"",Approved
Go,github.com/go-git/go-billy/v5,v5.3.1,Apache 2.0,"",Approved
Go,github.com/go-git/go-git/v5,v5.4.2,Apache 2.0,"",Approved
Go,github.com/go-kit/log,v0.2.0,MIT,"",Approved
Go,github.com/go-logfmt/logfmt,v0.5.1,MIT,"",Approved
Go,github.com/go-logr/logr,v1.2.3,Apache 2.0,"",Approved
Go,github.com/go-logr/stdr,v1.2.2,Apache 2.0,"",Approved
Go,github.com/go-openapi/analysis,v0.21.2,Apache 2.0,"",Approved
Go,github.com/go-openapi/errors,v0.20.2,Apache 2.0,"",Approved
Go,github.com/go-openapi/jsonpointer,v0.19.5,Apache 2.0,"",Approved
Go,github.com/go-openapi/jsonreference,v0.19.6,Apache 2.0,"",Approved
Go,github.com/go-openapi/loads,v0.21.1,Apache 2.0,"",Approved
Go,github.com/go-openapi/runtime,v0.22.0,"Apache 2.0,MIT","",Approved
Go,github.com/go-openapi/spec,v0.20.4,Apache 2.0,"",Approved
Go,github.com/go-openapi/strfmt,v0.21.1,Apache 2.0,"",Approved
Go,github.com/go-openapi/swag,v0.21.1,Apache 2.0,"",Approved
Go,github.com/go-openapi/validate,v0.20.3,Apache 2.0,"",Approved
Go,github.com/go-redsync/redsync,v1.4.2,New BSD,"",Approved
Go,github.com/go-stack/stack,v1.8.1,MIT,"",Approved
Go,github.com/gobwas/glob,v0.2.3,MIT,"",Approved
Go,github.com/godbus/dbus/v5,v5.0.6,Simplified BSD,"",Approved
Go,github.com/gofrs/uuid,v4.2.0,MIT,"",Approved
Go,github.com/gogo/protobuf,v1.3.2,New BSD,"",Approved
Go,github.com/golang-jwt/jwt/v4,v4.2.0,MIT,"",Approved
Go,github.com/golang/gddo,v0.0.0-20210115222349-20d68f94ee1f,New BSD,"",Approved
Go,github.com/golang/glog,v1.0.0,Apache 2.0,"",Approved
Go,github.com/golang/groupcache,v0.0.0-20210331224755-41bb18bfe9da,Apache 2.0,"",Approved
Go,github.com/golang/protobuf,v1.5.2,New BSD,"",Approved
Go,github.com/golang/snappy,v0.0.4,New BSD,"",Approved
Go,github.com/gomodule/oauth1,v0.2.0,Apache 2.0,"",Approved
Go,github.com/gomodule/redigo,v2.0.0,Apache 2.0,"",Approved
Go,github.com/google/go-cmp,v0.5.8,New BSD,"",Approved
Go,github.com/google/go-github,v17.0.0,New BSD,"",Approved
Go,github.com/google/go-github/v31,v31.0.0,New BSD,"",Approved
Go,github.com/google/go-github/v41,v41.0.0,New BSD,"",Approved
Go,github.com/google/go-github/v43,v43.0.0,New BSD,"",Approved
Go,github.com/google/go-querystring,v1.1.0,New BSD,"",Approved
Go,github.com/google/gofuzz,v1.2.0,Apache 2.0,"",Approved
Go,github.com/google/pprof,v0.0.0-20220412212628-83db2b799d1f,"Apache 2.0,ISC","",Approved
Go,github.com/google/uuid,v1.3.0,New BSD,"",Approved
Go,github.com/googleapis/gax-go/v2,v2.3.0,New BSD,"",Approved
Go,github.com/googleapis/gnostic,v0.5.5,Apache 2.0,"",Approved
Go,github.com/googleapis/go-type-adapters,v1.0.0,Apache 2.0,"",Approved
Go,github.com/gorilla/context,v1.1.1,New BSD,"",Approved
Go,github.com/gorilla/csrf,v1.7.1,New BSD,"",Approved
Go,github.com/gorilla/css,v1.0.0,New BSD,"",Approved
Go,github.com/gorilla/handlers,v1.5.1,Simplified BSD,"",Approved
Go,github.com/gorilla/mux,v1.8.0,New BSD,"",Approved
Go,github.com/gorilla/schema,v1.2.0,New BSD,"",Approved
Go,github.com/gorilla/securecookie,v1.1.1,New BSD,"",Approved
Go,github.com/gorilla/sessions,v1.2.1,New BSD,"",Approved
Go,github.com/gorilla/websocket,v1.4.2,Simplified BSD,"",Approved
Go,github.com/gosimple/slug,v1.12.0,Mozilla Public License 2.0,"",Approved
Go,github.com/gosimple/unidecode,v1.0.1,Apache 2.0,"",Approved
Go,github.com/goware/urlx,v0.3.1,MIT,"",Approved
Go,github.com/grafana-tools/sdk,v0.0.0-20220203092117-edae16afa87b,Apache 2.0,"",Approved
Go,github.com/grafana/regexp,v0.0.0-20220304100321-149c8afcd6cb,New BSD,"",Approved
Go,github.com/graph-gophers/graphql-go,v1.3.0,Simplified BSD,"",Approved
Go,github.com/graphql-go/graphql,v0.8.0,MIT,"",Approved
Go,github.com/gregjones/httpcache,v0.0.0-20190611155906-901d90724c79,MIT,"",Approved
Go,github.com/grpc-ecosystem/grpc-gateway/v2,v2.7.0,New BSD,"",Approved
Go,github.com/hashicorp/errwrap,v1.1.0,Mozilla Public License 2.0,"",Approved
Go,github.com/hashicorp/go-cleanhttp,v0.5.2,Mozilla Public License 2.0,"",Approved
Go,github.com/hashicorp/go-multierror,v1.1.1,Mozilla Public License 2.0,"",Approved
Go,github.com/hashicorp/go-retryablehttp,v0.7.1,Mozilla Public License 2.0,"",Approved
Go,github.com/hashicorp/golang-lru,v0.5.4,Mozilla Public License 2.0,"",Approved
Go,github.com/hmarr/codeowners,v0.4.0,MIT,"",Approved
Go,github.com/honeycombio/libhoney-go,v1.15.8,Apache 2.0,"",Approved
Go,github.com/imdario/mergo,v0.3.12,New BSD,"",Approved
Go,github.com/inconshreveable/log15,v0.0.0-20201112154412-8562bdadbbac,MIT,"",Approved
Go,github.com/itchyny/gojq,v0.12.7,MIT,"",Approved
Go,github.com/itchyny/timefmt-go,v0.1.3,MIT,"",Approved
Go,github.com/jackc/chunkreader/v2,v2.0.1,MIT,"",Approved
Go,github.com/jackc/pgconn,v1.10.1,MIT,"",Approved
Go,github.com/jackc/pgio,v1.0.0,MIT,"",Approved
Go,github.com/jackc/pgpassfile,v1.0.0,MIT,"",Approved
Go,github.com/jackc/pgproto3/v2,v2.2.0,MIT,"",Approved
Go,github.com/jackc/pgservicefile,v0.0.0-20200714003250-2b9c44734f2b,MIT,"",Approved
