name,time/op (ns/op),±
QueryChromiumLong-12,0.00000E+00
LoadFlask-12
LoadSourcegraph-12

name,index-size (),±
LoadKubernetes-12
LoadLinux-12
LoadChromium-12
QueryFlaskShort-12,2.22000E+02,0%
QueryFlaskMedium-12,2.22000E+02,0%
QueryFlaskLong-12,2.22000E+02,0%
QuerySourcegraphShort-12,7.16400E+03,0%
QuerySourcegraphMedium-12,7.16400E+03,0%
QuerySourcegraphLong-12,7.16400E+03,0%
QueryKubernetesShort-12,2.24220E+04,0%
QueryKubernetesMedium-12,2.24220E+04,0%
QueryKubernetesLong-12,2.24220E+04,0%
QueryLinuxShort-12,7.42100E+04,0%
QueryLinuxMedium-12,7.42100E+04,0%
QueryLinuxLong-12,7.42100E+04,0%
QueryChromiumShort-12,3.29524E+05,0%
QueryChromiumMedium-12,3.29524E+05,0%
QueryChromiumLong-12,3.29524E+05,0%
LoadFlask-12
LoadSourcegraph-12

name,true-positives (),±
LoadKubernetes-12
LoadLinux-12
LoadChromium-12
QueryFlaskShort-12,1.40000E+01,0%
QueryFlaskMedium-12,1.09000E+02,0%
QueryFlaskLong-12,4.00000E+00,0%
QuerySourcegraphShort-12,7.50000E+01,0%
QuerySourcegraphMedium-12,3.82300E+03,0%
QuerySourcegraphLong-12,2.20000E+01,0%
QueryKubernetesShort-12,1.36000E+02,0%
QueryKubernetesMedium-12,5.68000E+02,0%
QueryKubernetesLong-12,8.90000E+01,0%
QueryLinuxShort-12,8.19000E+02,0%
QueryLinuxMedium-12,1.50000E+02,0%
QueryLinuxLong-12,1.04000E+02,0%
QueryChromiumShort-12,3.50300E+03,0%
QueryChromiumMedium-12,1.64000E+02,0%
QueryChromiumLong-12,1.00000E+00,0%
LoadFlask-12
LoadSourcegraph-12
