package_manager,name,version,licenses,homepage,approved
Yarn,@babel/plugin-transform-duplicate-keys,7.10.1,MIT,Unknown,Approved
Yarn,@babel/plugin-transform-exponentiation-operator,7.10.1,MIT,Unknown,Approved
Yarn,@babel/plugin-transform-flow-strip-types,7.9.0,MIT,Unknown,Approved
Yarn,@babel/plugin-transform-for-of,7.10.1,MIT,Unknown,Approved
Yarn,@babel/plugin-transform-function-name,7.10.1,MIT,Unknown,Approved
Yarn,@babel/plugin-transform-literals,7.10.1,MIT,Unknown,Approved
Yarn,@babel/plugin-transform-member-expression-literals,7.10.1,MIT,Unknown,Approved
Yarn,@babel/plugin-transform-modules-amd,7.10.1,MIT,Unknown,Approved
Yarn,@babel/plugin-transform-modules-commonjs,7.10.1,MIT,Unknown,Approved
Yarn,@babel/plugin-transform-modules-systemjs,7.10.1,MIT,Unknown,Approved
Yarn,@babel/plugin-transform-modules-umd,7.10.1,MIT,Unknown,Approved
Yarn,@babel/plugin-transform-named-capturing-groups-regex,7.8.3,MIT,https://babeljs.io/,Approved
Yarn,@babel/plugin-transform-new-target,7.10.1,MIT,Unknown,Approved
Yarn,@babel/plugin-transform-object-super,7.10.1,MIT,Unknown,Approved
Yarn,@babel/plugin-transform-parameters,7.10.1,MIT,Unknown,Approved
Yarn,@babel/plugin-transform-property-literals,7.10.1,MIT,Unknown,Approved
Yarn,@babel/plugin-transform-react-constant-elements,7.8.3,MIT,Unknown,Approved
Yarn,@babel/plugin-transform-react-display-name,7.8.3,MIT,Unknown,Approved
Yarn,@babel/plugin-transform-react-jsx,7.9.4,MIT,Unknown,Approved
Yarn,@babel/plugin-transform-react-jsx-development,7.9.0,MIT,Unknown,Approved
Yarn,@babel/plugin-transform-react-jsx-self,7.9.0,MIT,Unknown,Approved
Yarn,@babel/plugin-transform-react-jsx-source,7.9.0,MIT,Unknown,Approved
Yarn,@babel/plugin-transform-regenerator,7.10.1,MIT,https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-regenerator,Approved
Yarn,@babel/plugin-transform-reserved-words,7.10.1,MIT,Unknown,Approved
Yarn,@babel/plugin-transform-runtime,7.9.0,MIT,Unknown,Approved
Yarn,@babel/plugin-transform-shorthand-properties,7.10.1,MIT,Unknown,Approved
Yarn,@babel/plugin-transform-spread,7.10.1,MIT,Unknown,Approved
Yarn,@babel/plugin-transform-sticky-regex,7.10.1,MIT,Unknown,Approved
Yarn,@babel/plugin-transform-template-literals,7.10.1,MIT,Unknown,Approved
Yarn,@babel/plugin-transform-typeof-symbol,7.10.1,MIT,Unknown,Approved
Yarn,@babel/plugin-transform-typescript,7.10.1,MIT,Unknown,Approved
Yarn,@babel/plugin-transform-unicode-escapes,7.10.1,MIT,Unknown,Approved
Yarn,@babel/plugin-transform-unicode-regex,7.10.1,MIT,Unknown,Approved
Yarn,@babel/polyfill,7.7.0,MIT,https://babeljs.io/,Approved
Yarn,@babel/preset-env,7.10.2,MIT,https://babeljs.io/,Approved
Yarn,@babel/preset-env,7.9.0,MIT,https://babeljs.io/,Approved
Yarn,@babel/preset-flow,7.0.0,MIT,Unknown,Approved
Yarn,@babel/preset-modules,0.1.3,MIT,Unknown,Approved
Yarn,@babel/preset-react,7.9.1,MIT,https://babeljs.io/,Approved
Yarn,@babel/preset-typescript,7.10.1,MIT,Unknown,Approved
Yarn,@babel/preset-typescript,7.9.0,MIT,Unknown,Approved
Yarn,@babel/runtime,7.10.2,MIT,https://babeljs.io/docs/en/next/babel-runtime,Approved
Yarn,@babel/runtime,7.3.4,MIT,Unknown,Approved
Yarn,@babel/runtime,7.7.7,MIT,https://babeljs.io/docs/en/next/babel-runtime,Approved
