Type,Name,Version,Has Exception,Exception Reason,License ID,License Source
golang,github.com/go-stack/stack,v1.8.0,No,,MIT,LICENSE.md
golang,github.com/go-toolsmith/astcast,v1.0.0,No,,MIT,LICENSE
golang,github.com/go-toolsmith/astcopy,v1.0.0,No,,MIT,LICENSE
golang,github.com/go-toolsmith/astequal,v1.0.0,No,,MIT,LICENSE
golang,github.com/go-toolsmith/astfmt,v1.0.0,No,,MIT,LICENSE
golang,github.com/go-toolsmith/astp,v1.0.0,No,,MIT,LICENSE
golang,github.com/go-toolsmith/pkgload,v1.0.0,No,,MIT,LICENSE
golang,github.com/go-toolsmith/strparse,v1.0.0,No,,MIT,LICENSE
golang,github.com/go-toolsmith/typep,v1.0.0,No,,MIT,LICENSE
golang,github.com/gobwas/glob,v0.2.3,No,,MIT,LICENSE
golang,github.com/gofrs/flock,v0.0.0-20190320160742-5135e617513b,No,,BSD-3-Clause,LICENSE
golang,github.com/gogo/protobuf,v1.3.1,No,,,LICENSE
golang,github.com/golang-migrate/migrate/v4,v4.10.0,No,,,LICENSE
golang,github.com/golang/gddo,v0.0.0-20200310004957-95ce5a452273,No,,BSD-3-Clause,LICENSE
golang,github.com/golang/groupcache,v0.0.0-20200121045136-8c9f03a8e57e,No,,Apache-2.0,LICENSE
golang,github.com/golang/protobuf,v1.3.5,No,,BSD-3-Clause,LICENSE
golang,github.com/golang/snappy,v0.0.1,No,,BSD-3-Clause,LICENSE
golang,github.com/golangci/check,v0.0.0-20180506172741-cfe4005ccda2,No,,GPL-3.0,LICENSE
golang,github.com/golangci/dupl,v0.0.0-20180902072040-3e9179ac440a,No,,MIT,LICENSE
golang,github.com/golangci/errcheck,v0.0.0-20181223084120-ef45e06d44b6,No,,MIT,LICENSE
golang,github.com/golangci/go-misc,v0.0.0-20180628070357-927a3d87b613,No,,,LICENSE
golang,github.com/golangci/goconst,v0.0.0-20180610141641-041c5f2b40f3,No,,MIT,LICENSE
golang,github.com/golangci/gocyclo,v0.0.0-20180528144436-0a533e8fa43d,No,,BSD-3-Clause,LICENSE
golang,github.com/golangci/golangci-lint,v1.23.8,No,,GPL-3.0,LICENSE
golang,github.com/golangci/ineffassign,v0.0.0-20190609212857-42439a7714cc,No,,MIT,LICENSE
golang,github.com/golangci/lint-1,v0.0.0-20191013205115-297bf364a8e0,No,,BSD-3-Clause,LICENSE
golang,github.com/golangci/maligned,v0.0.0-20180506175553-b1d89398deca,No,,BSD-3-Clause,LICENSE
golang,github.com/golangci/misspell,v0.0.0-20180809174111-950f5d19e770,No,,MIT,LICENSE
golang,github.com/golangci/prealloc,v0.0.0-20180630174525-215b22d4de21,No,,MIT,LICENSE
golang,github.com/golangci/revgrep,v0.0.0-20180812185044-276a5c0a1039,No,,Apache-2.0,LICENSE
golang,github.com/golangci/unconvert,v0.0.0-20180507085042-28b1c447d1f4,No,,BSD-3-Clause,LICENSE
golang,github.com/golangplus/bytes,v0.0.0-20160111154220-45c989fe5450,No,,BSD-3-Clause,LICENSE
golang,github.com/golangplus/bytes,v0.0.0-20160111154220-45c989fe5450,No,,,README.md
golang,github.com/golangplus/fmt,v0.0.0-20150411045040-2a5d6d7d2995,No,,BSD-3-Clause,LICENSE
golang,github.com/golangplus/fmt,v0.0.0-20150411045040-2a5d6d7d2995,No,,,README.md
golang,github.com/golangplus/testing,v0.0.0-20180327235837-af21d9c3145e,No,,BSD-3-Clause,LICENSE
golang,github.com/golangplus/testing,v0.0.0-20180327235837-af21d9c3145e,No,,,README.md
golang,github.com/gomodule/oauth1,v0.0.0-20181215000758-9a59ed3b0a84,No,,Apache-2.0,README.markdown
golang,github.com/gomodule/redigo,v2.0.0+incompatible,No,,Apache-2.0,LICENSE
golang,github.com/google/go-cmp,v0.4.0,No,,BSD-3-Clause,LICENSE
golang,github.com/google/go-cmp,v0.4.0,No,,,README.md
golang,github.com/google/go-github/v28,v28.1.1,No,,BSD-3-Clause,LICENSE
golang,github.com/google/go-github/v28,v28.1.1,No,,,README.md
golang,github.com/google/go-github,v17.0.0+incompatible,No,,BSD-3-Clause,LICENSE
golang,github.com/google/go-github,v17.0.0+incompatible,No,,,README.md
golang,github.com/google/go-querystring,v1.0.0,No,,BSD-3-Clause,LICENSE
golang,github.com/google/go-querystring,v1.0.0,No,,,README.md
golang,github.com/google/martian,v2.1.0+incompatible,No,,Apache-2.0,LICENSE
golang,github.com/google/uuid,v1.1.1,No,,BSD-3-Clause,LICENSE
golang,github.com/google/zoekt,v0.0.0-00010101000000-000000000000,No,,Apache-2.0,LICENSE
golang,github.com/googleapis/gax-go/v2,v2.0.5,No,,BSD-3-Clause,LICENSE
golang,github.com/googleapis/gax-go,v2.0.0+incompatible,No,,BSD-3-Clause,LICENSE
golang,github.com/googleapis/gax-go,v2.0.0+incompatible,No,,,README.md
golang,github.com/gopherjs/gopherjs,v0.0.0-20200217142428-fce0ec30dd00,No,,BSD-2-Clause,LICENSE
golang,github.com/gorilla/context,v1.1.1,No,,BSD-3-Clause,LICENSE
golang,github.com/gorilla/csrf,v1.6.2,No,,BSD-3-Clause,LICENSE
golang,github.com/gorilla/csrf,v1.6.2,No,,,README.md
golang,github.com/gorilla/handlers,v1.4.2,No,,BSD-2-Clause,LICENSE
golang,github.com/gorilla/handlers,v1.4.2,No,,,README.md
golang,github.com/gorilla/mux,v1.7.4,No,,BSD-3-Clause,LICENSE
golang,github.com/gorilla/mux,v1.7.4,No,,,README.md
golang,github.com/gorilla/schema,v1.1.0,No,,BSD-3-Clause,LICENSE
golang,github.com/gorilla/schema,v1.1.0,No,,,README.md
golang,github.com/gorilla/securecookie,v1.1.1,No,,BSD-3-Clause,LICENSE
golang,github.com/gorilla/securecookie,v1.1.1,No,,,README.md
golang,github.com/gorilla/sessions,v1.2.0,No,,BSD-3-Clause,LICENSE
golang,github.com/gorilla/sessions,v1.2.0,No,,,README.md
golang,github.com/gostaticanalysis/analysisutil,v0.0.3,No,,MIT,LICENSE
golang,github.com/goware/urlx,v0.3.1,No,,MIT,LICENSE
golang,github.com/graph-gophers/graphql-go,v0.0.0-20200309224638-dae41bde9ef9,No,,BSD-2-Clause,LICENSE
golang,github.com/gregjones/httpcache,v0.0.0-20190611155906-901d90724c79,No,,MIT,LICENSE.txt
golang,github.com/hashicorp/errwrap,v1.0.0,No,,MPL-2.0,LICENSE
golang,github.com/hashicorp/go-cleanhttp,v0.5.1,No,,MPL-2.0,LICENSE
golang,github.com/hashicorp/go-hclog,v0.12.1,No,,MIT,LICENSE
golang,github.com/hashicorp/go-multierror,v1.0.0,No,,MPL-2.0,LICENSE
golang,github.com/hashicorp/go-retryablehttp,v0.6.4,No,,MPL-2.0,LICENSE
golang,github.com/hashicorp/hcl,v1.0.0,No,,MPL-2.0,LICENSE
golang,github.com/honeycombio/libhoney-go,v1.12.3,No,,Apache-2.0,LICENSE
golang,github.com/hpcloud/tail,v1.0.0,No,,MIT,LICENSE.txt
golang,github.com/inconshreveable/log15,v0.0.0-20200109203555-b30bc20e4fd1,No,,,LICENSE
golang,github.com/inconshreveable/mousetrap,v1.0.0,No,,,LICENSE
golang,github.com/jingyugao/rowserrcheck,v0.0.0-20191204022205-72ab7603b68a,No,,MIT,LICENSE
golang,github.com/jirfag/go-printf-func-name,v0.0.0-20200119135958-7558a9eaa5af,No,,MIT,LICENSE
golang,github.com/jmespath/go-jmespath,v0.3.0,No,,,LICENSE
golang,github.com/jmoiron/sqlx,v1.2.1-0.20190826204134-d7d95172beb5,No,,MIT,LICENSE
golang,github.com/joho/godotenv,v1.3.0,No,,MIT,LICENCE
golang,github.com/jonboulle/clockwork,v0.1.0,No,,Apache-2.0,LICENSE
golang,github.com/json-iterator/go,v1.1.9,No,,MIT,LICENSE
golang,github.com/jstemmer/go-junit-report,v0.9.1,No,,MIT,LICENSE
golang,github.com/jtolds/gls,v4.20.0+incompatible,No,,MIT,LICENSE
golang,github.com/kardianos/osext,v0.0.0-20190222173326-2bc1f35cddc0,No,,BSD-3-Clause,LICENSE
golang,github.com/karlseguin/expect,v1.0.1,No,,MIT,license.txt
golang,github.com/karrick/godirwalk,v1.15.5,No,,BSD-2-Clause,LICENSE
golang,github.com/karrick/tparse/v2,v2.7.1,No,,MIT,LICENSE
golang,github.com/keegancsmith/rpc,v1.1.0,No,,BSD-3-Clause,LICENSE
golang,github.com/keegancsmith/sqlf,v1.1.0,No,,MIT,LICENSE
golang,github.com/keegancsmith/tmpfriend,v0.0.0-20180423180255-86e88902a513,No,,MIT,LICENSE
golang,github.com/kevinburke/go-bindata,v3.18.0+incompatible,No,,,LICENSE
golang,github.com/kisielk/gotool,v1.0.0,No,,MIT,LICENSE
golang,github.com/klauspost/compress,v1.10.2,No,,BSD-3-Clause,LICENSE
golang,github.com/klauspost/compress,v1.10.2,No,,,README.md
golang,github.com/konsorten/go-windows-terminal-sequences,v1.0.2,No,,MIT,LICENSE
golang,github.com/kr/pretty,v0.2.0,No,,MIT,License
golang,github.com/kr/text,v0.2.0,No,,MIT,License
golang,github.com/kylelemons/godebug,v1.1.0,No,,Apache-2.0,LICENSE
golang,github.com/leanovate/gopter,v0.2.7,No,,MIT,LICENSE
golang,github.com/leodido/go-urn,v1.2.0,No,,MIT,LICENSE
golang,github.com/lib/pq,v1.3.0,No,,MIT,LICENSE.md
golang,github.com/lightstep/lightstep-tracer-common/golang/gogo,v0.0.0-20200310182322-adf4263e074b,No,,MIT,LICENSE
golang,github.com/lightstep/lightstep-tracer-go,v0.19.0,No,,MIT,LICENSE
golang,github.com/magiconair/properties,v1.8.1,No,,,LICENSE
golang,github.com/matoous/godox,v0.0.0-20190911065817-5d6d842e92eb,No,,MIT,LICENSE
golang,github.com/mattn/go-colorable,v0.1.6,No,,MIT,LICENSE
golang,github.com/mattn/go-isatty,v0.0.12,No,,MIT,LICENSE
golang,github.com/mattn/go-runewidth,v0.0.8,No,,MIT,LICENSE
golang,github.com/mattn/go-sqlite3,v2.0.3+incompatible,No,,MIT,LICENSE
golang,github.com/mattn/goreman,v0.3.5,No,,MIT,README.md
golang,github.com/matttproud/golang_protobuf_extensions,v1.0.1,No,,Apache-2.0,LICENSE
golang,github.com/mcuadros/go-version,v0.0.0-20190830083331-035f6764e8d2,No,,MIT,LICENSE
golang,github.com/microcosm-cc/bluemonday,v1.0.2,No,,BSD-3-Clause,LICENSE.md
golang,github.com/mitchellh/go-homedir,v1.1.0,No,,MIT,LICENSE
golang,github.com/mitchellh/mapstructure,v1.1.2,No,,MIT,LICENSE
golang,github.com/modern-go/concurrent,v0.0.0-20180306012644-bacd9c7ef1dd,No,,Apache-2.0,LICENSE
golang,github.com/modern-go/reflect2,v1.0.1,No,,Apache-2.0,LICENSE
golang,github.com/morikuni/aec,v1.0.0,No,,MIT,LICENSE
golang,github.com/mschoch/smat,v0.0.0-20160514031455-90eadee771ae,No,,Apache-2.0,LICENSE
golang,github.com/mxk/go-flowrate,v0.0.0-20140419014527-cca7078d478f,No,,BSD-3-Clause,LICENSE
golang,github.com/nbutton23/zxcvbn-go,v0.0.0-20180912185939-ae427f1e4c1d,No,,MIT,LICENSE.txt
golang,github.com/neelance/parallel,v0.0.0-20160708114440-4de9ce63d14c,No,,BSD-2-Clause,LICENSE
golang,github.com/niemeyer/pretty,v0.0.0-20200227124842-a10e7caefd8e,No,,MIT,License
golang,github.com/oklog/ulid,v1.3.1,No,,Apache-2.0,LICENSE
golang,github.com/onsi/ginkgo,v1.12.0,No,,MIT,LICENSE
golang,github.com/onsi/gomega,v1.9.0,No,,MIT,LICENSE
golang,github.com/opencontainers/go-digest,v1.0.0-rc1,No,,CC-BY-SA-4.0,LICENSE.docs
golang,github.com/opencontainers/go-digest,v1.0.0-rc1,No,,Apache-2.0,LICENSE.code
golang,github.com/opencontainers/image-spec,v1.0.1,No,,Apache-2.0,LICENSE
golang,github.com/opentracing-contrib/go-stdlib,v0.0.0-20190519235532-cf7a6c988dc9,No,,Apache-2.0,LICENSE
golang,github.com/opentracing/opentracing-go,v1.1.0,No,,Apache-2.0,LICENSE
golang,github.com/pelletier/go-toml,v1.6.0,No,,MIT,LICENSE
golang,github.com/peterbourgon/ff,v1.7.0,No,,Apache-2.0,LICENSE
golang,github.com/peterh/liner,v1.2.0,No,,MIT,COPYING
golang,github.com/peterhellberg/link,v1.1.0,No,,MIT,LICENSE
golang,github.com/philhofer/fwd,v1.0.0,No,,MIT,LICENSE.md
golang,github.com/pkg/errors,v0.9.1,No,,BSD-2-Clause,LICENSE
golang,github.com/pkg/profile,v1.4.0,No,,BSD-2-Clause,LICENSE
golang,github.com/pmezard/go-difflib,v1.0.0,No,,,LICENSE
golang,github.com/pquerna/cachecontrol,v0.0.0-20180517163645-1555304b9b35,No,,Apache-2.0,LICENSE
golang,github.com/prometheus/client_golang,v1.5.1,No,,Apache-2.0,LICENSE
golang,github.com/prometheus/client_model,v0.2.0,No,,Apache-2.0,LICENSE
golang,github.com/prometheus/common,v0.9.1,No,,Apache-2.0,LICENSE
golang,github.com/prometheus/procfs,v0.0.10,No,,Apache-2.0,LICENSE
golang,github.com/rainycape/unidecode,v0.0.0-20150907023854-cb7f23ec59be,No,,Apache-2.0,LICENSE
golang,github.com/russellhaering/gosaml2,v0.4.0,No,,Apache-2.0,LICENSE
golang,github.com/russellhaering/goxmldsig,v0.0.0-20180430223755-7acd5e4a6ef7,No,,Apache-2.0,LICENSE
golang,github.com/russross/blackfriday,v2.0.0+incompatible,No,,,LICENSE.txt
golang,github.com/securego/gosec,v0.0.0-20200316084457-7da9f46445fd,No,,Apache-2.0,LICENSE.txt
golang,github.com/segmentio/fasthash,v1.0.1,No,,MIT,LICENSE
golang,github.com/sergi/go-diff,v1.1.0,No,,Apache-2.0,APACHE-LICENSE-2.0
golang,github.com/sergi/go-diff,v1.1.0,No,,MIT,LICENSE
golang,github.com/shurcooL/github_flavored_markdown,v0.0.0-20181002035957-2122de532470,No,,MIT,README.md
golang,github.com/shurcooL/githubv4,v0.0.0-20191127044304-8f68eb5628d0,No,,MIT,LICENSE
golang,github.com/shurcooL/go-goon,v0.0.0-20170922171312-37c2f522c041,No,,MIT,README.md
golang,github.com/shurcooL/go,v0.0.0-20191216061654-b114cc39af9f,No,,MIT,README.md
golang,github.com/shurcooL/graphql,v0.0.0-20181231061246-d48a9a75455f,No,,MIT,LICENSE
golang,github.com/shurcooL/highlight_diff,v0.0.0-20181222201841-111da2e7d480,No,,MIT,LICENSE
golang,github.com/shurcooL/highlight_go,v0.0.0-20191220051317-782971ddf21b,No,,MIT,README.md
golang,github.com/shurcooL/httpfs,v0.0.0-20190707220628-8d4bc4ba7749,No,,MIT,LICENSE
golang,github.com/shurcooL/httpgzip,v0.0.0-20190720172056-320755c1c1b0,No,,MIT,LICENSE
golang,github.com/shurcooL/octicon,v0.0.0-20191102190552-cbb32d6a785c,No,,MIT,LICENSE
golang,github.com/shurcooL/sanitized_anchor_name,v1.0.0,No,,MIT,LICENSE
golang,github.com/shurcooL/vfsgen,v0.0.0-20181202132449-6a9ea43bcacd,No,,MIT,LICENSE
golang,github.com/sirupsen/logrus,v1.4.2,No,,MIT,LICENSE
golang,github.com/sloonz/go-qprintable,v0.0.0-20160203160305-775b3a4592d5,No,,ISC,COPYING
golang,github.com/smartystreets/assertions,v1.0.1,No,,,LICENSE.md
golang,github.com/smartystreets/goconvey,v1.6.4,No,,,LICENSE.md
golang,github.com/sourcegraph/annotate,v0.0.0-20160123013949-f4cad6c6324d,No,,BSD-3-Clause,LICENSE
golang,github.com/sourcegraph/ctxvfs,v0.0.0-20180418081416-2b65f1b1ea81,No,,MIT,LICENSE
golang,github.com/sourcegraph/go-diff,v0.5.1,No,,,LICENSE
golang,github.com/sourcegraph/go-jsonschema,v0.0.0-20191222043427-cdbee60427af,No,,MIT,LICENSE
golang,github.com/sourcegraph/go-langserver,v2.0.1-0.20181108233942-4a51fa2e1238+incompatible,No,,MIT,LICENSE
golang,github.com/sourcegraph/go-lsp,v0.0.0-20200117082640-b19bb38222e2,No,,MIT,LICENSE
golang,github.com/sourcegraph/gosyntect,v0.0.0-20200331033347-c35e64c39373,No,,MIT,LICENSE
golang,github.com/sourcegraph/jsonx,v0.0.0-20190114210550-ba8cb36a8614,No,,,LICENSE
golang,github.com/sourcegraph/syntaxhighlight,v0.0.0-20170531221838-bd320f5d308e,No,,BSD-3-Clause,LICENSE
golang,github.com/spf13/afero,v1.2.2,No,,Apache-2.0,LICENSE.txt
golang,github.com/spf13/cast,v1.3.1,No,,MIT,LICENSE
golang,github.com/spf13/cobra,v0.0.6,No,,Apache-2.0,LICENSE.txt
golang,github.com/spf13/jwalterweatherman,v1.1.0,No,,MIT,LICENSE
golang,github.com/spf13/pflag,v1.0.5,No,,BSD-3-Clause,LICENSE
golang,github.com/spf13/viper,v1.6.2,No,,MIT,LICENSE
golang,github.com/sqs/httpgzip,v0.0.0-20180622165210-91da61ed4dff,No,,MIT,README.md
golang,github.com/src-d/enry/v2,v2.1.0,No,,Apache-2.0,LICENSE
golang,github.com/src-d/gcfg,v1.4.0,No,,,LICENSE
golang,github.com/src-d/go-oniguruma,v1.1.0,No,,MIT,LICENSE
golang,github.com/stretchr/objx,v0.2.0,No,,MIT,LICENSE
golang,github.com/stretchr/testify,v1.5.1,No,,MIT,LICENSE
golang,github.com/stripe/stripe-go,v70.5.0+incompatible,No,,MIT,LICENSE
golang,github.com/stvp/tempredis,v0.0.0-20181119212430-b82af8480203,No,,MIT,LICENSE
golang,github.com/subosito/gotenv,v1.2.0,No,,MIT,LICENSE
golang,github.com/temoto/robotstxt,v1.1.1,No,,MIT,LICENSE
golang,github.com/timakin/bodyclose,v0.0.0-20190930140734-f7f2e9bca95e,No,,MIT,LICENSE
golang,github.com/tinylib/msgp,v1.1.2,No,,MIT,LICENSE
golang,github.com/tommy-muehle/go-mnd,v1.3.1-0.20200224220436-e6f9a994e8fa,No,,MIT,LICENSE
golang,github.com/tomnomnom/linkheader,v0.0.0-20180905144013-02ca5825eb80,No,,MIT,LICENSE
golang,github.com/toqueteos/trie,v1.0.0,No,,MIT,LICENSE.txt
golang,github.com/uber/gonduit,v0.6.1,No,,MIT,LICENSE
golang,github.com/uber/jaeger-client-go,v2.22.1+incompatible,No,,Apache-2.0,LICENSE
golang,github.com/uber/jaeger-lib,v2.2.0+incompatible,No,,Apache-2.0,LICENSE
golang,github.com/ugorji/go/codec,v1.1.7,No,,MIT,LICENSE
golang,github.com/ugorji/go,v1.1.7,No,,MIT,LICENSE
golang,github.com/ultraware/funlen,v0.0.2,No,,MIT,LICENSE
golang,github.com/ultraware/whitespace,v0.0.4,No,,MIT,LICENSE
golang,github.com/uudashr/gocognit,v1.0.1,No,,MIT,LICENSE
golang,github.com/vmihailenco/msgpack,v4.0.4+incompatible,No,,BSD-2-Clause,LICENSE
golang,github.com/willf/bitset,v1.1.10,No,,BSD-3-Clause,LICENSE
golang,github.com/wsxiaoys/terminal,v0.0.0-20160513160801-0940f3fc43a0,No,,BSD-3-Clause,LICENSE
golang,github.com/xeipuuv/gojsonpointer,v0.0.0-20190905194746-02993c407bfb,No,,Apache-2.0,LICENSE-APACHE-2.0.txt
golang,github.com/xeipuuv/gojsonreference,v0.0.0-20180127040603-bd5ef7bd5415,No,,Apache-2.0,LICENSE-APACHE-2.0.txt
golang,github.com/xeipuuv/gojsonschema,v1.2.0,No,,Apache-2.0,LICENSE-APACHE-2.0.txt
golang,github.com/xeonx/timeago,v1.0.0-rc4,No,,MIT,LICENSE
golang,github.com/zenazn/goji,v0.9.1-0.20160507202103-64eb34159fe5,No,,MIT,LICENSE
golang,go.opencensus.io,v0.22.3,No,,Apache-2.0,LICENSE
golang,go.starlark.net,v0.0.0-20200306205701-8dd3e2ee1dd5,No,,BSD-3-Clause,LICENSE
golang,go.uber.org/atomic,v1.6.0,No,,MIT,LICENSE.txt
golang,go.uber.org/automaxprocs,v1.3.0,No,,MIT,LICENSE
golang,golang.org/x/arch,v0.0.0-20200312215426-ff8b605520f4,No,,BSD-3-Clause,LICENSE
golang,golang.org/x/arch,v0.0.0-20200312215426-ff8b605520f4,No,,,PATENTS
golang,golang.org/x/crypto,v0.0.0-20200317142112-1b76d66859c6,No,,BSD-3-Clause,LICENSE
golang,golang.org/x/crypto,v0.0.0-20200317142112-1b76d66859c6,No,,,PATENTS
golang,golang.org/x/lint,v0.0.0-20200302205851-738671d3881b,No,,BSD-3-Clause,LICENSE
golang,golang.org/x/mod,v0.2.0,No,,BSD-3-Clause,LICENSE
golang,golang.org/x/mod,v0.2.0,No,,,PATENTS
golang,golang.org/x/net,v0.0.0-20200319234117-63522dbf7eec,No,,BSD-3-Clause,LICENSE
golang,golang.org/x/net,v0.0.0-20200319234117-63522dbf7eec,No,,,PATENTS
golang,golang.org/x/oauth2,v0.0.0-20200107190931-bf48bf16ab8d,No,,BSD-3-Clause,LICENSE
golang,golang.org/x/sync,v0.0.0-20190911185100-cd5d95a43a6e,No,,BSD-3-Clause,LICENSE
golang,golang.org/x/sync,v0.0.0-20190911185100-cd5d95a43a6e,No,,,PATENTS
golang,golang.org/x/sys,v0.0.0-20200302150141-5c8b2ff67527,No,,BSD-3-Clause,LICENSE
golang,golang.org/x/sys,v0.0.0-20200302150141-5c8b2ff67527,No,,,PATENTS
golang,golang.org/x/text,v0.3.2,No,,BSD-3-Clause,LICENSE
golang,golang.org/x/text,v0.3.2,No,,,PATENTS
